"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC","ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","NoDevCommits","Number of committers","NoPreviousModifications","bug"
"L4628","AtomicDoubleArray.java","src/main/java/jsr166e/extra/AtomicDoubleArray.java","L4626","19","0","13","0","152","328","L4603","AtomicDoubleArray.java","src/main/java/jsr166e/extra/AtomicDoubleArray.java","L4601","19","0","152","0","4735","1","4","0"
"L4629","ReadMostlyVector.java","src/main/java/jsr166e/extra/ReadMostlyVector.java","L4626","254","0","28","27","1346","1632","L4604","ReadMostlyVector.java","src/main/java/jsr166e/extra/ReadMostlyVector.java","L4601","254","0","1346","0","4735","1","2","0"
"L4630","SequenceLock.java","src/main/java/jsr166e/extra/SequenceLock.java","L4626","20","0","19","0","158","640","L4605","SequenceLock.java","src/main/java/jsr166e/extra/SequenceLock.java","L4601","20","0","158","0","4735","1","2","0"
"L7223","ConcurrentLinkedDeque.java","src/main/java/jsr166y/ConcurrentLinkedDeque.java","L7222","171","0","25","10","695","1469","L7160","ConcurrentLinkedDeque.java","src/main/java/jsr166y/ConcurrentLinkedDeque.java","L7159","171","0","695","0","4735","1","2","0"
"L7224","CountedCompleter.java","src/main/java/jsr166y/CountedCompleter.java","L7222","27","0","18","0","157","745","L7161","CountedCompleter.java","src/main/java/jsr166y/CountedCompleter.java","L7159","27","0","157","0","4735","1","3","0"
"L7225","ForkJoinPool.java","src/main/java/jsr166y/ForkJoinPool.java","L7222","571","0","40","0","1755","3428","L7162","ForkJoinPool.java","src/main/java/jsr166y/ForkJoinPool.java","L7159","571","0","1755","0","4735","1","3","0"
"L7226","ForkJoinTask.java","src/main/java/jsr166y/ForkJoinTask.java","L7222","149","0","32","2","694","1510","L7163","ForkJoinTask.java","src/main/java/jsr166y/ForkJoinTask.java","L7159","149","0","694","0","4735","1","3","0"
"L7227","ForkJoinWorkerThread.java","src/main/java/jsr166y/ForkJoinWorkerThread.java","L7222","4","0","4","0","38","122","L7164","ForkJoinWorkerThread.java","src/main/java/jsr166y/ForkJoinWorkerThread.java","L7159","4","0","38","0","4735","1","2","0"
"L7228","LinkedTransferQueue.java","src/main/java/jsr166y/LinkedTransferQueue.java","L7222","165","0","18","6","575","1354","L7165","LinkedTransferQueue.java","src/main/java/jsr166y/LinkedTransferQueue.java","L7159","165","0","575","0","4735","1","2","0"
"L7230","Phaser.java","src/main/java/jsr166y/Phaser.java","L7222","112","0","22","0","490","1165","L7167","Phaser.java","src/main/java/jsr166y/Phaser.java","L7159","112","0","490","0","4735","1","2","0"
"L7231","RecursiveAction.java","src/main/java/jsr166y/RecursiveAction.java","L7222","1","0","2","0","11","165","L7168","RecursiveAction.java","src/main/java/jsr166y/RecursiveAction.java","L7159","1","0","11","0","4735","1","2","0"
"L7232","RecursiveTask.java","src/main/java/jsr166y/RecursiveTask.java","L7222","1","0","1","1","16","69","L7169","RecursiveTask.java","src/main/java/jsr166y/RecursiveTask.java","L7159","1","0","16","0","4735","1","3","0"
"L7233","ThreadLocalRandom.java","src/main/java/jsr166y/ThreadLocalRandom.java","L7222","10","0","8","0","67","198","L7170","ThreadLocalRandom.java","src/main/java/jsr166y/ThreadLocalRandom.java","L7159","10","0","67","0","4735","1","2","0"
"L7234","TransferQueue.java","src/main/java/jsr166y/TransferQueue.java","L7222","1","0","6","0","10","134","L7171","TransferQueue.java","src/main/java/jsr166y/TransferQueue.java","L7159","1","0","10","0","4735","1","1","0"
"L7229","package-info.java","src/main/java/jsr166y/package-info.java","L7222","1","0","0","0","1","29","L7166","package-info.java","src/main/java/jsr166y/package-info.java","L7159","1","0","1","0","4735","1","4","0"
"L9304","CustomAnalyzerWrapper.java","src/main/java/org/apache/lucene/analysis/CustomAnalyzerWrapper.java","L9303","1","0","1","3","25","78","L9006","CustomAnalyzerWrapper.java","src/main/java/org/apache/lucene/analysis/CustomAnalyzerWrapper.java","L9005","1","0","25","1","1466","3","4","0"
"L9340","TruncateTokenFilter.java","src/main/java/org/apache/lucene/analysis/miscellaneous/TruncateTokenFilter.java","L9339","3","0","1","2","25","57","L9042","TruncateTokenFilter.java","src/main/java/org/apache/lucene/analysis/miscellaneous/TruncateTokenFilter.java","L9041","3","0","25","1","1466","2","3","0"
"L9341","UniqueTokenFilter.java","src/main/java/org/apache/lucene/analysis/miscellaneous/UniqueTokenFilter.java","L9339","6","0","1","4","50","91","L9043","UniqueTokenFilter.java","src/main/java/org/apache/lucene/analysis/miscellaneous/UniqueTokenFilter.java","L9041","6","0","50","1","1466","3","5","0"
"L9415","TrackingConcurrentMergeScheduler.java","src/main/java/org/apache/lucene/index/TrackingConcurrentMergeScheduler.java","L9414","7","0","1","10","91","149","L9116","TrackingConcurrentMergeScheduler.java","src/main/java/org/apache/lucene/index/TrackingConcurrentMergeScheduler.java","L9115","7","0","91","3","1466","4","14","0"
"L9416","TrackingSerialMergeScheduler.java","src/main/java/org/apache/lucene/index/TrackingSerialMergeScheduler.java","L9414","9","0","2","11","99","165","L9117","TrackingSerialMergeScheduler.java","src/main/java/org/apache/lucene/index/TrackingSerialMergeScheduler.java","L9115","9","0","99","3","1466","4","15","0"
"L9419","ExtendedMemoryIndex.java","src/main/java/org/apache/lucene/index/memory/ExtendedMemoryIndex.java","L9418","1","0","1","1","6","32","L9120","ExtendedMemoryIndex.java","src/main/java/org/apache/lucene/index/memory/ExtendedMemoryIndex.java","L9119","1","0","6","1","319","3","3","0"
"L9567","ExtendedCommonTermsQuery.java","src/main/java/org/apache/lucene/queries/ExtendedCommonTermsQuery.java","L9566","2","0","1","6","39","76","L9265","ExtendedCommonTermsQuery.java","src/main/java/org/apache/lucene/queries/ExtendedCommonTermsQuery.java","L9264","2","0","39","1","319","4","7","1"
"L9601","XSimpleQueryParser.java","src/main/java/org/apache/lucene/queryparser/XSimpleQueryParser.java","L9600","76","0","7","0","270","522","L9299","XSimpleQueryParser.java","src/main/java/org/apache/lucene/queryparser/XSimpleQueryParser.java","L9298","76","0","270","0","230","1","1","2"
"L9604","ExistsFieldQueryExtension.java","src/main/java/org/apache/lucene/queryparser/classic/ExistsFieldQueryExtension.java","L9603","4","0","1","1","28","60","L9302","ExistsFieldQueryExtension.java","src/main/java/org/apache/lucene/queryparser/classic/ExistsFieldQueryExtension.java","L9301","4","0","28","1","1466","2","5","1"
"L9605","FieldQueryExtension.java","src/main/java/org/apache/lucene/queryparser/classic/FieldQueryExtension.java","L9603","1","0","1","1","6","32","L9303","FieldQueryExtension.java","src/main/java/org/apache/lucene/queryparser/classic/FieldQueryExtension.java","L9301","1","0","6","1","1466","2","3","0"
"L9606","MapperQueryParser.java","src/main/java/org/apache/lucene/queryparser/classic/MapperQueryParser.java","L9603","166","0","1","5","777","885","L9304","MapperQueryParser.java","src/main/java/org/apache/lucene/queryparser/classic/MapperQueryParser.java","L9301","166","0","777","10","1466","8","25","0"
"L9607","MissingFieldQueryExtension.java","src/main/java/org/apache/lucene/queryparser/classic/MissingFieldQueryExtension.java","L9603","4","0","1","1","31","65","L9305","MissingFieldQueryExtension.java","src/main/java/org/apache/lucene/queryparser/classic/MissingFieldQueryExtension.java","L9301","4","0","31","1","1466","2","5","1"
"L9608","QueryParserSettings.java","src/main/java/org/apache/lucene/queryparser/classic/QueryParserSettings.java","L9603","65","0","1","59","282","377","L9306","QueryParserSettings.java","src/main/java/org/apache/lucene/queryparser/classic/QueryParserSettings.java","L9301","65","0","282","3","1466","4","6","0"
"L10238","CustomPassageFormatter.java","src/main/java/org/apache/lucene/search/postingshighlight/CustomPassageFormatter.java","L10237","6","0","1","2","45","79","L9933","CustomPassageFormatter.java","src/main/java/org/apache/lucene/search/postingshighlight/CustomPassageFormatter.java","L9932","6","0","45","1","1466","2","3","0"
"L10239","CustomPostingsHighlighter.java","src/main/java/org/apache/lucene/search/postingshighlight/CustomPostingsHighlighter.java","L10237","9","0","2","2","110","188","L9934","CustomPostingsHighlighter.java","src/main/java/org/apache/lucene/search/postingshighlight/CustomPostingsHighlighter.java","L9932","9","0","110","1","1466","2","3","0"
"L10240","Snippet.java","src/main/java/org/apache/lucene/search/postingshighlight/Snippet.java","L10237","1","0","1","4","20","51","L9935","Snippet.java","src/main/java/org/apache/lucene/search/postingshighlight/Snippet.java","L9932","1","0","20","1","1466","2","2","0"
"L10241","XPostingsHighlighter.java","src/main/java/org/apache/lucene/search/postingshighlight/XPostingsHighlighter.java","L10237","66","0","8","1","455","778","L9936","XPostingsHighlighter.java","src/main/java/org/apache/lucene/search/postingshighlight/XPostingsHighlighter.java","L9932","66","0","455","1","1466","2","3","0"
"L11031","XAnalyzingSuggester.java","src/main/java/org/apache/lucene/search/suggest/analyzing/XAnalyzingSuggester.java","L11030","82","0","8","15","639","1053","L10725","XAnalyzingSuggester.java","src/main/java/org/apache/lucene/search/suggest/analyzing/XAnalyzingSuggester.java","L10724","82","0","639","1","1466","3","8","2"
"L11032","XFuzzySuggester.java","src/main/java/org/apache/lucene/search/suggest/analyzing/XFuzzySuggester.java","L11030","12","0","4","1","105","264","L10726","XFuzzySuggester.java","src/main/java/org/apache/lucene/search/suggest/analyzing/XFuzzySuggester.java","L10724","12","0","105","1","1466","2","4","0"
"L11409","CustomFieldQuery.java","src/main/java/org/apache/lucene/search/vectorhighlight/CustomFieldQuery.java","L11408","28","0","1","2","120","162","L11103","CustomFieldQuery.java","src/main/java/org/apache/lucene/search/vectorhighlight/CustomFieldQuery.java","L11102","28","0","120","4","1466","4","17","1"
"L11489","BufferedChecksumIndexOutput.java","src/main/java/org/apache/lucene/store/BufferedChecksumIndexOutput.java","L11488","4","0","3","7","67","116","L11182","BufferedChecksumIndexOutput.java","src/main/java/org/apache/lucene/store/BufferedChecksumIndexOutput.java","L11181","4","0","67","0","4735","1","1","1"
"L11490","RateLimitedFSDirectory.java","src/main/java/org/apache/lucene/store/RateLimitedFSDirectory.java","L11488","10","0","0","5","101","144","L11183","RateLimitedFSDirectory.java","src/main/java/org/apache/lucene/store/RateLimitedFSDirectory.java","L11181","10","0","101","1","4735","3","9","1"
"L11491","StoreRateLimiting.java","src/main/java/org/apache/lucene/store/StoreRateLimiting.java","L11488","6","0","1","12","57","95","L11184","StoreRateLimiting.java","src/main/java/org/apache/lucene/store/StoreRateLimiting.java","L11181","6","0","57","2","1466","2","7","0"
"L11492","StoreUtils.java","src/main/java/org/apache/lucene/store/StoreUtils.java","L11488","4","0","1","1","20","45","L11185","StoreUtils.java","src/main/java/org/apache/lucene/store/StoreUtils.java","L11181","4","0","20","1","1466","2","2","0"
"L11880","Build.java","src/main/java/org/elasticsearch/Build.java","L11879","1","0","1","5","60","97","L11553","Build.java","src/main/java/org/elasticsearch/Build.java","L11552","1","0","60","1","1466","2","3","0"
"L11881","ElasticsearchException.java","src/main/java/org/elasticsearch/ElasticsearchException.java","L11879","16","0","9","0","78","156","L11554","ElasticsearchException.java","src/main/java/org/elasticsearch/ElasticsearchException.java","L11552","16","0","78","1","1466","1","2","0"
"L11882","ElasticsearchGenerationException.java","src/main/java/org/elasticsearch/ElasticsearchGenerationException.java","L11879","1","0","1","2","9","37","L11555","ElasticsearchGenerationException.java","src/main/java/org/elasticsearch/ElasticsearchGenerationException.java","L11552","1","0","9","1","1466","1","2","0"
"L11883","ElasticsearchIllegalArgumentException.java","src/main/java/org/elasticsearch/ElasticsearchIllegalArgumentException.java","L11879","1","0","1","4","17","45","L11556","ElasticsearchIllegalArgumentException.java","src/main/java/org/elasticsearch/ElasticsearchIllegalArgumentException.java","L11552","1","0","17","1","1466","1","2","0"
"L11884","ElasticsearchIllegalStateException.java","src/main/java/org/elasticsearch/ElasticsearchIllegalStateException.java","L11879","1","0","1","3","12","39","L11557","ElasticsearchIllegalStateException.java","src/main/java/org/elasticsearch/ElasticsearchIllegalStateException.java","L11552","1","0","12","1","1466","1","2","0"
"L11885","ElasticsearchNullPointerException.java","src/main/java/org/elasticsearch/ElasticsearchNullPointerException.java","L11879","1","0","1","3","12","38","L11558","ElasticsearchNullPointerException.java","src/main/java/org/elasticsearch/ElasticsearchNullPointerException.java","L11552","1","0","12","1","1466","1","2","0"
"L11886","ElasticsearchParseException.java","src/main/java/org/elasticsearch/ElasticsearchParseException.java","L11879","1","0","1","3","14","42","L11559","ElasticsearchParseException.java","src/main/java/org/elasticsearch/ElasticsearchParseException.java","L11552","1","0","14","1","1466","1","2","0"
"L11887","ElasticsearchTimeoutException.java","src/main/java/org/elasticsearch/ElasticsearchTimeoutException.java","L11879","1","0","1","2","9","36","L11560","ElasticsearchTimeoutException.java","src/main/java/org/elasticsearch/ElasticsearchTimeoutException.java","L11552","1","0","9","1","1466","1","2","0"
"L11888","ElasticsearchWrapperException.java","src/main/java/org/elasticsearch/ElasticsearchWrapperException.java","L11879","1","0","1","1","4","29","L11561","ElasticsearchWrapperException.java","src/main/java/org/elasticsearch/ElasticsearchWrapperException.java","L11552","1","0","4","1","1466","1","2","0"
"L11889","ExceptionsHelper.java","src/main/java/org/elasticsearch/ExceptionsHelper.java","L11879","16","0","1","6","81","114","L11562","ExceptionsHelper.java","src/main/java/org/elasticsearch/ExceptionsHelper.java","L11552","16","0","81","3","1466","3","7","1"
"L11890","Version.java","src/main/java/org/elasticsearch/Version.java","L11879","66","0","3","14","336","408","L11563","Version.java","src/main/java/org/elasticsearch/Version.java","L11552","66","0","336","1","1466","8","83","4"
"L11896","Action.java","src/main/java/org/elasticsearch/action/Action.java","L11895","1","0","1","1","9","36","L11569","Action.java","src/main/java/org/elasticsearch/action/Action.java","L11568","1","0","9","1","1466","3","7","0"
"L11897","ActionFuture.java","src/main/java/org/elasticsearch/action/ActionFuture.java","L11895","1","0","7","0","15","99","L11570","ActionFuture.java","src/main/java/org/elasticsearch/action/ActionFuture.java","L11568","1","0","15","1","31","3","6","0"
"L11898","ActionListener.java","src/main/java/org/elasticsearch/action/ActionListener.java","L11895","1","0","3","0","5","39","L11571","ActionListener.java","src/main/java/org/elasticsearch/action/ActionListener.java","L11568","1","0","5","1","1466","2","3","0"
"L11899","ActionModule.java","src/main/java/org/elasticsearch/action/ActionModule.java","L11895","5","0","2","1","257","312","L11572","ActionModule.java","src/main/java/org/elasticsearch/action/ActionModule.java","L11568","5","0","257","1","762","9","27","0"
"L11900","ActionRequest.java","src/main/java/org/elasticsearch/action/ActionRequest.java","L11895","1","0","3","3","31","77","L11573","ActionRequest.java","src/main/java/org/elasticsearch/action/ActionRequest.java","L11568","1","0","31","1","1466","3","6","0"
"L11901","ActionRequestBuilder.java","src/main/java/org/elasticsearch/action/ActionRequestBuilder.java","L11895","1","0","4","5","44","90","L11574","ActionRequestBuilder.java","src/main/java/org/elasticsearch/action/ActionRequestBuilder.java","L11568","1","0","44","1","1466","4","8","0"
"L11902","ActionRequestValidationException.java","src/main/java/org/elasticsearch/action/ActionRequestValidationException.java","L11895","3","0","1","5","31","63","L11575","ActionRequestValidationException.java","src/main/java/org/elasticsearch/action/ActionRequestValidationException.java","L11568","3","0","31","1","1466","2","4","0"
"L11903","ActionResponse.java","src/main/java/org/elasticsearch/action/ActionResponse.java","L11895","1","0","1","2","15","43","L11576","ActionResponse.java","src/main/java/org/elasticsearch/action/ActionResponse.java","L11568","1","0","15","1","1466","2","4","0"
"L11904","FailedNodeException.java","src/main/java/org/elasticsearch/action/FailedNodeException.java","L11895","1","0","1","2","12","40","L11577","FailedNodeException.java","src/main/java/org/elasticsearch/action/FailedNodeException.java","L11568","1","0","12","1","1466","2","4","0"
"L11905","GenericAction.java","src/main/java/org/elasticsearch/action/GenericAction.java","L11895","1","0","4","2","24","68","L11578","GenericAction.java","src/main/java/org/elasticsearch/action/GenericAction.java","L11568","1","0","24","1","1466","3","4","0"
"L11906","ListenableActionFuture.java","src/main/java/org/elasticsearch/action/ListenableActionFuture.java","L11895","1","0","3","0","5","39","L11579","ListenableActionFuture.java","src/main/java/org/elasticsearch/action/ListenableActionFuture.java","L11568","1","0","5","1","1466","2","3","0"
"L11907","NoShardAvailableActionException.java","src/main/java/org/elasticsearch/action/NoShardAvailableActionException.java","L11895","1","0","1","4","19","47","L11580","NoShardAvailableActionException.java","src/main/java/org/elasticsearch/action/NoShardAvailableActionException.java","L11568","1","0","19","2","1466","2","4","0"
"L11908","NoSuchNodeException.java","src/main/java/org/elasticsearch/action/NoSuchNodeException.java","L11895","1","0","1","1","6","31","L11581","NoSuchNodeException.java","src/main/java/org/elasticsearch/action/NoSuchNodeException.java","L11568","1","0","6","1","1466","2","3","0"
"L11909","PrimaryMissingActionException.java","src/main/java/org/elasticsearch/action/PrimaryMissingActionException.java","L11895","1","0","1","1","7","33","L11582","PrimaryMissingActionException.java","src/main/java/org/elasticsearch/action/PrimaryMissingActionException.java","L11568","1","0","7","1","1466","2","4","0"
"L11910","RoutingMissingException.java","src/main/java/org/elasticsearch/action/RoutingMissingException.java","L11895","1","0","1","5","27","60","L11583","RoutingMissingException.java","src/main/java/org/elasticsearch/action/RoutingMissingException.java","L11568","1","0","27","1","1466","3","5","0"
"L11911","ShardOperationFailedException.java","src/main/java/org/elasticsearch/action/ShardOperationFailedException.java","L11895","1","0","5","0","10","54","L11584","ShardOperationFailedException.java","src/main/java/org/elasticsearch/action/ShardOperationFailedException.java","L11568","1","0","10","1","1466","3","4","0"
"L11912","ThreadingModel.java","src/main/java/org/elasticsearch/action/ThreadingModel.java","L11895","15","0","3","6","70","115","L11585","ThreadingModel.java","src/main/java/org/elasticsearch/action/ThreadingModel.java","L11568","15","0","70","1","1466","2","4","0"
"L11913","TimestampParsingException.java","src/main/java/org/elasticsearch/action/TimestampParsingException.java","L11895","1","0","1","2","12","38","L11586","TimestampParsingException.java","src/main/java/org/elasticsearch/action/TimestampParsingException.java","L11568","1","0","12","1","1466","2","4","1"
"L11914","TransportActionNodeProxy.java","src/main/java/org/elasticsearch/action/TransportActionNodeProxy.java","L11895","3","0","1","3","59","95","L11587","TransportActionNodeProxy.java","src/main/java/org/elasticsearch/action/TransportActionNodeProxy.java","L11568","3","0","59","1","1466","4","9","1"
"L11915","UnavailableShardsException.java","src/main/java/org/elasticsearch/action/UnavailableShardsException.java","L11895","2","0","1","2","20","47","L11588","UnavailableShardsException.java","src/main/java/org/elasticsearch/action/UnavailableShardsException.java","L11568","2","0","20","1","1466","3","6","0"
"L11916","ValidateActions.java","src/main/java/org/elasticsearch/action/ValidateActions.java","L11895","2","0","1","1","10","35","L11589","ValidateActions.java","src/main/java/org/elasticsearch/action/ValidateActions.java","L11568","2","0","10","1","1466","3","3","0"
"L11917","WriteConsistencyLevel.java","src/main/java/org/elasticsearch/action/WriteConsistencyLevel.java","L11895","9","0","1","3","39","72","L11590","WriteConsistencyLevel.java","src/main/java/org/elasticsearch/action/WriteConsistencyLevel.java","L11568","9","0","39","1","1466","2","4","0"
"L12630","ClusterAction.java","src/main/java/org/elasticsearch/action/admin/cluster/ClusterAction.java","L12629","1","0","1","1","13","40","L12294","ClusterAction.java","src/main/java/org/elasticsearch/action/admin/cluster/ClusterAction.java","L12293","1","0","13","1","1466","3","4","0"
"L12651","ClusterHealthAction.java","src/main/java/org/elasticsearch/action/admin/cluster/health/ClusterHealthAction.java","L12650","1","0","1","2","18","46","L12315","ClusterHealthAction.java","src/main/java/org/elasticsearch/action/admin/cluster/health/ClusterHealthAction.java","L12314","1","0","18","1","1466","3","3","0"
"L12652","ClusterHealthRequest.java","src/main/java/org/elasticsearch/action/admin/cluster/health/ClusterHealthRequest.java","L12650","10","0","2","20","143","196","L12316","ClusterHealthRequest.java","src/main/java/org/elasticsearch/action/admin/cluster/health/ClusterHealthRequest.java","L12314","10","0","143","1","474","6","12","0"
"L12653","ClusterHealthRequestBuilder.java","src/main/java/org/elasticsearch/action/admin/cluster/health/ClusterHealthRequestBuilder.java","L12650","1","0","2","10","56","96","L12317","ClusterHealthRequestBuilder.java","src/main/java/org/elasticsearch/action/admin/cluster/health/ClusterHealthRequestBuilder.java","L12314","1","0","56","1","474","6","9","0"
"L12654","ClusterHealthResponse.java","src/main/java/org/elasticsearch/action/admin/cluster/health/ClusterHealthResponse.java","L12650","25","0","4","17","248","324","L12318","ClusterHealthResponse.java","src/main/java/org/elasticsearch/action/admin/cluster/health/ClusterHealthResponse.java","L12314","25","0","248","2","1466","4","9","0"
"L12655","ClusterHealthStatus.java","src/main/java/org/elasticsearch/action/admin/cluster/health/ClusterHealthStatus.java","L12650","4","0","1","2","26","55","L12319","ClusterHealthStatus.java","src/main/java/org/elasticsearch/action/admin/cluster/health/ClusterHealthStatus.java","L12314","4","0","26","1","1466","2","4","0"
"L12656","ClusterIndexHealth.java","src/main/java/org/elasticsearch/action/admin/cluster/health/ClusterIndexHealth.java","L12650","26","0","1","17","221","294","L12320","ClusterIndexHealth.java","src/main/java/org/elasticsearch/action/admin/cluster/health/ClusterIndexHealth.java","L12314","26","0","221","1","1466","4","9","0"
"L12657","ClusterShardHealth.java","src/main/java/org/elasticsearch/action/admin/cluster/health/ClusterShardHealth.java","L12650","1","0","1","9","65","111","L12321","ClusterShardHealth.java","src/main/java/org/elasticsearch/action/admin/cluster/health/ClusterShardHealth.java","L12314","1","0","65","1","1466","3","4","0"
"L12658","TransportClusterHealthAction.java","src/main/java/org/elasticsearch/action/admin/cluster/health/TransportClusterHealthAction.java","L12650","41","0","1","1","187","234","L12322","TransportClusterHealthAction.java","src/main/java/org/elasticsearch/action/admin/cluster/health/TransportClusterHealthAction.java","L12314","41","0","187","2","474","8","19","0"
"L13349","NodeHotThreads.java","src/main/java/org/elasticsearch/action/admin/cluster/node/hotthreads/NodeHotThreads.java","L13348","1","0","1","5","33","65","L13004","NodeHotThreads.java","src/main/java/org/elasticsearch/action/admin/cluster/node/hotthreads/NodeHotThreads.java","L13003","1","0","33","1","1466","3","3","0"
"L13350","NodesHotThreadsAction.java","src/main/java/org/elasticsearch/action/admin/cluster/node/hotthreads/NodesHotThreadsAction.java","L13348","1","0","1","2","18","46","L13005","NodesHotThreadsAction.java","src/main/java/org/elasticsearch/action/admin/cluster/node/hotthreads/NodesHotThreadsAction.java","L13003","1","0","18","1","1466","2","2","0"
"L13351","NodesHotThreadsRequest.java","src/main/java/org/elasticsearch/action/admin/cluster/node/hotthreads/NodesHotThreadsRequest.java","L13348","1","0","2","10","60","101","L13006","NodesHotThreadsRequest.java","src/main/java/org/elasticsearch/action/admin/cluster/node/hotthreads/NodesHotThreadsRequest.java","L13003","1","0","60","1","1466","3","6","0"
"L13352","NodesHotThreadsRequestBuilder.java","src/main/java/org/elasticsearch/action/admin/cluster/node/hotthreads/NodesHotThreadsRequestBuilder.java","L13348","1","0","1","4","27","56","L13007","NodesHotThreadsRequestBuilder.java","src/main/java/org/elasticsearch/action/admin/cluster/node/hotthreads/NodesHotThreadsRequestBuilder.java","L13003","1","0","27","1","1466","3","5","0"
"L13353","NodesHotThreadsResponse.java","src/main/java/org/elasticsearch/action/admin/cluster/node/hotthreads/NodesHotThreadsResponse.java","L13348","3","0","1","3","29","59","L13008","NodesHotThreadsResponse.java","src/main/java/org/elasticsearch/action/admin/cluster/node/hotthreads/NodesHotThreadsResponse.java","L13003","3","0","29","1","1466","2","2","0"
"L13354","TransportNodesHotThreadsAction.java","src/main/java/org/elasticsearch/action/admin/cluster/node/hotthreads/TransportNodesHotThreadsAction.java","L13348","4","0","1","1","96","137","L13009","TransportNodesHotThreadsAction.java","src/main/java/org/elasticsearch/action/admin/cluster/node/hotthreads/TransportNodesHotThreadsAction.java","L13003","4","0","96","2","1466","2","7","0"
"L13602","NodeInfo.java","src/main/java/org/elasticsearch/action/admin/cluster/node/info/NodeInfo.java","L13601","23","0","10","8","229","312","L13251","NodeInfo.java","src/main/java/org/elasticsearch/action/admin/cluster/node/info/NodeInfo.java","L13250","23","0","229","1","4735","6","16","0"
